Name,TLR,RPC,GO,OI,Perception,State
Indian Agricultural Research Institute,89.8,92.79,82.81,73.74,92.71,Delhi
ICAR - National Dairy Research Institute,78.54,60.44,87.07,62.65,58.08,Haryana
Punjab Agricultural University,87.98,67.49,51.84,49.96,76.16,Punjab
Banaras Hindu University,67.94,74.3,71.04,58.96,55.38,Uttar Pradesh
"Indian Veterinary Research Institute, Izatnagar",87.23,54.71,77.21,56.3,41.12,Uttar Pradesh
Tamil Nadu Agricultural University,83.47,42.55,58.01,55.06,100,Tamil Nadu
Chaudhary Charan Singh Haryana Agricultural University,93.8,35.16,66.87,50.24,66.7,Haryana
G.B. Pant Universtiy of Agriculture and Technology,70.89,43.52,76.23,51.2,70.74,Uttarakhand
"Central Institute of Fisheries Education, Fishries University",74.76,42.17,82.18,75,23.49,Maharashtra
Sher-e-Kashmir University of Agricultural Science and Technology of Kashmir,77.79,49.66,77.14,46.36,27.3,Jammu and Kashmir
University of Agricultural Sciences,84.43,28.65,67.62,58.72,58.08,Karnataka
"National Institute of Food Technology, Entrepreneurship and Management",69,49.03,54.68,57.26,47.19,Tamil Nadu
Bidhan Chandra Krishi Vishwavidyalaya,76.17,37.1,78.2,29.45,41.12,West Bengal
Assam Agricultural University,88.75,20.14,62.59,56.58,48.31,Assam
Odisha University of Agriculture and Technology,79.36,27.12,69.9,56.1,41.12,Odisha
Kerala Agricultural University,83.95,27.77,57.5,47.4,55.38,Kerala
Tamil Nadu Veterinary and Animal Sciences University,78.36,28.01,61.79,55.68,53.48,Tamil Nadu
Dr. Y.S. Parmar University of Horticulture and Forestry,75.6,30.21,73.79,50.89,30.79,Himachal Pradesh
Chaudhary Sarwan Kumar Himachal Pardesh Krishi Vishvavidyalaya,78.93,28.03,71.95,48.31,32.43,Himachal Pradesh
Sher-e-Kashmir University of Agricultural Science and Technology of Jammu,76,32.95,66.76,55.3,23.49,Jammu and Kashmir
"National Institute of Food Technology, Enterprenurship and Management",53.92,45.47,66.09,66.01,27.3,Haryana
Lovely Professional University,53.08,53.13,49.77,72.72,19.29,Punjab
Anand Agricultural University,77.11,16.9,73.32,41.31,37,Gujarat
University of Agricultural Sciences,73.15,13.74,75.64,53.48,39.79,Karnataka
Guru Angad Dev Veterinary and Animal Sciences University,76.47,34.2,48.4,45.61,30.79,Punjab
Acharya N G Ranga Agricultural University,80.65,14.45,61.73,53.89,39.79,Andhra Pradesh
Annamalai University,64.34,26.05,66.43,47.96,47.19,Tamil Nadu
West Bengal University of Animal and Fishery Sciences,71.9,22.66,73.21,15.91,37,West Bengal
Dr Rajendra Prasad Central Agricultural University,74.79,19.88,58.79,60.83,17.03,Bihar
Kerala University of Fisheries and Ocean Studies,61.71,43.53,52.69,50.76,6.48,Kerala
Central Agricultural University,71.42,26.45,51.98,54.06,23.49,Manipur
Tamil Nadu Dr.J.Jayalalithaa Fisheries University,66.51,21.18,54.64,49.87,42.41,Tamil Nadu
Sri Venkateswara Veterinary University,70.75,6.34,75.52,52.71,29.08,Andhra Pradesh
Lala lajpat Rai University of Veterinary and Animal Sciences,82.21,22.03,45.9,37.9,19.29,Haryana
Navsari Agricultural University,83.56,8.93,59.36,45.78,17.03,Gujarat
Bihar Agriculture University,74.5,14.63,56.16,51.82,25.44,Bihar
Professor Jayashankar Telangana State Agricultural University,79.61,10.44,47.99,53.87,27.3,Telangana
Kalasalingam Academy of Research and Education,63.77,22.54,38.37,85.32,25.44,Tamil Nadu
Indira Gandhi Krishi Vishwavidyalaya,62.83,13.22,74.41,47.43,17.03,Chhattisgarh
Uttar Banga Krishi Vishwavidyalaya,80.72,13.98,52.66,27.53,23.49,West Bengal
