Name,TLR,RPC,GO,OI,Perception,State
Indian Institute of Technology Madras,95.79,93.1,81.07,65.85,100,Tamil Nadu
Indian Institute of Technology Delhi,85.71,92.2,84.52,65.39,98.53,Delhi
Indian Institute of Technology Bombay,86.34,84.18,84.78,58.67,91.13,Maharashtra
Indian Institute of Technology Kanpur,94.25,74.08,89.05,60.62,84.19,Uttar Pradesh
Indian Institute of Technology Kharagpur,78.22,79.28,79.16,57.83,80.26,West Bengal
Indian Institute of Technology Roorkee,77.72,74.7,87.35,62.2,65.79,Uttarakhand
Indian Institute of Technology Guwahati,76.81,68.07,84.48,59.56,55.38,Assam
Indian Institute of Technology Hyderabad,88.73,57.5,77.88,55.7,65.31,Telangana
National Institute of Technology Tiruchirappalli,69.69,57.02,78.69,63.12,68.07,Tamil Nadu
Indian Institute of Technology (Banaras Hindu University) Varanasi,66.26,60.16,84.78,57.89,60.05,Uttar Pradesh
Vellore Institute of Technology,65.52,71.94,69.4,61.75,49.28,Tamil Nadu
Jadavpur University,78.24,59.47,76.55,48.89,41.13,West Bengal
S.R.M. Institute of Science and Technology,78.11,68.7,64.6,66.85,17.57,Tamil Nadu
Anna University,65.94,71.32,63.43,48.67,65.97,Tamil Nadu
Indian Institute of Technology (Indian School of Mines) Dhanbad,73.39,60.91,75.94,59.84,33.72,Jharkhand
Indian Institute of Technology Indore,79.79,55.21,75.82,60.67,29.9,Madhya Pradesh
"National Institute of Technology Karnataka, Surathkal",74.65,49.04,78.44,62.31,52.37,Karnataka
Indian Institute of Technology Gandhinagar,88.39,42.21,70.33,65.56,36.08,Gujarat
National Institute of Technology Rourkela,76.49,57,73.24,59.41,27.38,Odisha
"Birla Institute of Technology and Science, Pilani",73.19,52.49,79.47,58.14,36.28,Rajasthan
National Institute of Technology Warangal,76.99,48.25,75.28,58.05,32.9,Telangana
Indian Institute of Technology Ropar,77.3,46.4,73.59,65.15,32.06,Punjab
Amrita Vishwa Vidyapeetham,78.05,49.58,65.28,62.49,37.03,Tamil Nadu
Jamia Millia Islamia,66.48,58.75,75.46,66.84,19.33,Delhi
National Institute of Technology Calicut,77.36,37.59,79.48,67.93,40.1,Kerala
Siksha `O` Anusandhan,82.08,42.44,66.25,73.63,30.12,Odisha
Delhi Technological University,73.1,43.87,76.17,55.57,49,Delhi
Indian Institute of Technology Jodhpur,87.05,40.25,72.26,66.24,13.5,Rajasthan
Thapar Institute of Engineering and Technology (Deemed-to-be-university),70.75,51.69,73.58,64.01,24.95,Punjab
Amity University,75.21,59.52,61.72,63.28,8.23,Uttar Pradesh
Indian Institute of Technology Mandi,74.9,41.8,79.03,70.51,19.9,Himachal Pradesh
Chandigarh University,76.22,45.76,66.21,75.56,24.19,Punjab
Aligarh Muslim University,75.47,58.68,63.11,41.23,21.83,Uttar Pradesh
Indian Institute of Technology Patna,67.22,49.41,77.73,53,25.69,Bihar
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),74.84,47.52,65.41,66.32,18.17,Andhra Pradesh
Kalasalingam Academy of Research and Education,78.67,38.81,71.56,76.14,10.42,Tamil Nadu
Kalinga Institute of Industrial Technology,78.06,42.99,62.03,76.29,16.36,Odisha
Shanmugha Arts Science Technology and Research Academy,78.42,39.3,72.1,67.21,15.11,Tamil Nadu
Visvesvaraya National Institute of Technology Nagpur,74.71,43.37,73.89,55.62,21.28,Maharashtra
National Institute of Technology Silchar,67.13,53.82,73.05,56.86,10.06,Assam
Institute of Chemical Technology,71.23,49.07,66.74,54.19,20.74,Maharashtra
UPES,73.11,52.19,51.1,62.7,25.69,Uttarakhand
Malaviya National Institute of Technology,69.24,48.66,69.43,59.76,11.12,Rajasthan
National Institute of Technology Durgapur,70.41,38.7,78.05,58.99,20.18,West Bengal
National Institute of Technology Delhi,77.19,30.17,67.64,77.54,21.83,Delhi
Sri Sivasubramaniya Nadar College of Engineering,69.93,41.32,69.34,57.1,20.46,Tamil Nadu
International Institute of Information Technology Hyderabad,65.47,40.89,66.9,63.14,26.9,Telangana
Birla Institute of Technology,75.92,39.2,62.5,52.44,19.04,Jharkhand
"Indian Institute of Engineering Science and Technology, Shibpur",64.01,39.61,72.26,54.45,31.85,West Bengal
Lovely Professional University,59.41,53.01,57.76,67.1,21.83,Punjab
Indian Institute of Space Science and Technology,77.82,23.52,66.88,61.08,32.27,Kerala
Graphic Era University,66.39,43.42,51.75,65.57,30.99,Uttarakhand
Saveetha Institute of Medical and Technical Sciences,70.74,60,35.67,64.13,0.9,Tamil Nadu
Indian Institute of Technology Bhubaneswar,58.61,35.88,74.96,58.35,33.72,Odisha
National Institute of Technology Patna,60.91,43.86,74.16,49.8,10.42,Bihar
Manipal Institute of Technology,67.6,37.45,57.59,60.23,30.56,Karnataka
Netaji Subhas University of Technology (NSUT),71.65,25.79,74.93,49.75,23.16,Delhi
Dr. B R Ambedkar National Institute of Technology Jalandhar,67.16,37.36,60.13,60.22,16.97,Punjab
Sardar Vallabhbhai National Institute of Technology,63.02,39.62,67,54.88,13.5,Gujarat
Motilal Nehru National Institute of Technology,58.52,36.58,75.07,52.94,18.17,Uttar Pradesh
Indian Institute of Technology Tirupati,79.07,20.7,64.08,53.1,25.2,Andhra Pradesh
Indian Institute of Technology Jammu,79.45,27.27,60,52.87,12.16,Jammu and Kashmir
Defence Institute of Advanced Technology,74.1,35.43,56.91,56.59,4.73,Maharashtra
Indian Institute of Technology Palakkad,74.88,21.37,62.91,65.44,22.36,Kerala
"Manipal University, Jaipur",70.54,37.46,52.43,68.77,4.73,Rajasthan
Sathyabama Institute of Science and Technology,66.73,38.18,51.34,70.34,12.83,Tamil Nadu
PSG College of Technology,68.19,24.56,59.97,46.77,54.15,Tamil Nadu
National Institute of Technology Meghalaya,71.91,32.09,60.88,60.89,3.49,Meghalaya
Visvesvaraya Technological University,61.27,48.05,58.19,46.62,7.1,Karnataka
University of Hyderabad,65.91,50.73,44.75,46.87,6.72,Telangana
National Institute of Technology Raipur,57.83,40.8,65.98,56.96,3.91,Chhattisgarh
Maulana Azad National Institute of Technology,57.75,34.21,70.28,60.62,11.47,Madhya Pradesh
Indian Institute of Technology Bhilai,76.71,19.93,65.71,59.2,7.48,Chhattisgarh
International Institute of Information Technology Bangalore,66.49,22.92,68.42,58.93,22.1,Karnataka
M. S. Ramaiah Institute of Technology,67.96,25.27,62.62,56,22.36,Karnataka
Sant Longowal Institute of Engineering and Technology,78.75,25.46,49.36,65.02,5.93,Punjab
COEP Technological University,64.95,21.48,67.24,51.61,33.51,Maharashtra
Banasthali Vidyapith,64.78,21,73.66,72.16,1.78,Rajasthan
National Institute of Technology Srinagar,62.6,30.19,67.16,58.61,6.33,Jammu and Kashmir
Rajiv Gandhi Institute of Petroleum Technology,77.55,14.26,69.08,59.78,0.9,Uttar Pradesh
National Institute of Technology Kurukshetra,49.88,37.75,65.87,52.63,20.74,Haryana
