Name,TLR,RPC,GO,OI,Perception,State
All India Institute of Medical Sciences Delhi,97.33,94.82,98.44,71.29,100,Delhi
Post Graduate Institute of Medical Education and Research,91.49,79.94,78.86,67.87,68.37,Chandigarh
Christian Medical College,95.64,47.93,90.1,62.69,77.55,Tamil Nadu
"National Institute of Mental Health and Neuro Sciences, Bangalore",88.3,57.73,79.84,70.82,50.63,Karnataka
Jawaharlal Institute of Post Graduate Medical Education and Research,86.45,44.84,89.87,67.81,66,Pondicherry
Sanjay Gandhi Postgraduate Institute of Medical Sciences,89.99,54.03,83.52,60.28,41.34,Uttar Pradesh
Banaras Hindu University,84.35,55.47,86.5,61.44,41.54,Uttar Pradesh
Amrita Vishwa Vidyapeetham,81.87,49.16,88.92,73.89,43.3,Tamil Nadu
"Kasturba Medical College, Manipal",78.85,50.23,81.49,75.6,48.33,Karnataka
"Madras Medical College and Government General Hospital, Chennai",87.89,14.07,97.01,81.91,59.41,Tamil Nadu
Dr. D. Y. Patil Vidyapeeth,77.07,46.12,78.08,69.91,45.35,Maharashtra
Saveetha Institute of Medical and Technical Sciences,76.15,68.43,63.45,66.21,10.45,Tamil Nadu
"Sree Chitra Tirunal Institute for Medical Sciences and Technology, Thiruvananthapuram",82.81,50.96,75.56,56.44,28.01,Kerala
All India Institute of Medical Sciences Rishikesh,78.16,48.5,77.54,65.35,31.19,Uttarakhand
All India Institute of Medical Sciences Bhubaneswar,81.35,36.04,80.92,66.67,49,Odisha
All India Institute of Medical Sciences Jodhpur,81.68,48.65,73.58,59.79,27.73,Rajasthan
Vardhman Mahavir Medical College & Safdarjung Hospital,87.61,35.66,85.44,53.47,29.36,Delhi
S.R.M. Institute of Science and Technology,78.34,47.12,76.96,74.88,14.83,Tamil Nadu
King George`s Medical University,79.27,37.24,88.09,52.06,41.74,Uttar Pradesh
Sri Ramachandra Institute of Higher Education and Research,80.04,34.39,88.29,65.08,31.19,Tamil Nadu
Siksha `O` Anusandhan,77.84,36.6,80.98,75.12,32.45,Odisha
Institute of Post Graduate Medical Education and Research,80.81,28.09,91.16,50.92,44.8,West Bengal
Datta Meghe Institute of Higher Education and Research,74.83,54.78,68.48,72.49,3.12,Maharashtra
Maulana Azad Medical College,82.41,33.18,79.69,52.21,38.01,Delhi
Kalinga Institute of Industrial Technology,78.89,42.49,70.03,72.86,18.79,Odisha
All India Institute of Medical Sciences Patna,78.07,33.17,72.52,60.79,42.91,Bihar
Aligarh Muslim University,76.04,35.05,81.61,61.64,22.73,Uttar Pradesh
St. John's Medical College,80.74,29.85,74.67,68.46,30.68,Karnataka
Lady Hardinge Medical College,82.86,26.51,75.06,61.59,38.22,Delhi
Armed Force Medical College,72.99,24.1,81.66,70.29,51.9,Maharashtra
All India Institute of Medical Sciences Bhopal,80.09,30.27,77.01,68.77,22.73,Madhya Pradesh
University College of Medical Sciences,76.66,37.29,76.39,60.72,21.13,Delhi
"Kasturba Medical College, Mangalore",76.38,29.45,75.83,73.02,29.1,Karnataka
Institute of Liver and Biliary Sciences,85,38.18,57.62,57.58,26.61,Delhi
Govt. Medical College & Hospital,79.82,30.06,76.95,59.94,21.77,Chandigarh
Maharishi Markandeshwar (Deemed to be University),74.83,37.12,75.69,69.68,8.29,Haryana
Jamia Hamdard,70.74,43.86,69.25,60.86,12.09,Delhi
All India Institute of Medical Sciences Raipur,83.81,24.95,67.28,71.07,20.8,Chhattisgarh
"JSS Medical College, Mysore",77.17,19.5,78.58,71.58,31.19,Karnataka
Dayanand Medical College,85.61,19.78,78.26,55.15,17.03,Punjab
PSG Institute of Medical Sciences and Research,77.95,15.71,74.17,60.58,41.34,Tamil Nadu
"Government Medical College, Thiruvananthapuram",72.49,16.22,89.15,47.8,30.68,Kerala
Sawai Man Singh Medical College,75.64,16.32,89.63,55.16,8.73,Rajasthan
Medical College,68.19,19.13,84.93,52.69,34.15,West Bengal
Gujarat Cancer and Research Institute,88.08,12.82,77.07,56.75,4.11,Gujarat
M. S. Ramaiah Medical College,79.4,12.41,79.02,58.54,25.74,Karnataka
Mahatma Gandhi Medical College and Research Institute,70.42,19.41,74.07,82.24,10.45,Pondicherry
Osmania Medical College,77.44,7.58,87.37,55.59,24.56,Telangana
Christian Medical College,77.33,12.47,74.62,68.89,22.1,Punjab
Pandit Bhagwat Dayal Sharma University of Health Sciences,77.04,16.79,77.72,53.17,17.03,Haryana
