Name,TLR,RPC,GO,OI,Perception,State
Indian Institute of Technology Madras,88.37,87.3,85.76,65.68,100,Tamil Nadu
"Indian Institute of Science, Bengaluru",83.6,86.5,82.17,58.46,99.7,Karnataka
Indian Institute of Technology Bombay,83.85,82.35,83.36,59.05,89.32,Maharashtra
Indian Institute of Technology Delhi,76.57,86.23,77.48,66.23,93.48,Delhi
Indian Institute of Technology Kanpur,89.84,69.09,81.96,60.83,74.12,Uttar Pradesh
Indian Institute of Technology Kharagpur,76.65,74.94,80.18,57.29,75.24,West Bengal
All India Institute of Medical Sciences Delhi,79.09,71.26,68.66,71.29,82.97,Delhi
Indian Institute of Technology Roorkee,76.55,70.48,79.14,62.91,52.89,Uttarakhand
Indian Institute of Technology Guwahati,76.33,64.43,81.35,61.96,43.43,Assam
Jawaharlal Nehru University,74.93,45.27,97.34,72.28,57.71,Delhi
Banaras Hindu University,73.59,51.01,94.94,61.57,50.25,Uttar Pradesh
Indian Institute of Technology Hyderabad,78.96,56.59,73.33,59.21,54.34,Telangana
Jamia Millia Islamia,71.29,49.28,92.72,83.1,29.78,Delhi
"Manipal Academy of Higher Education, Manipal",78.11,55.94,77.34,67.33,25.34,Karnataka
University of Delhi,56.75,56.42,98.54,67.57,43.93,Delhi
Aligarh Muslim University,74.02,45.91,93.81,61.15,33.15,Uttar Pradesh
Jadavpur University,68.83,51.35,89.92,49.94,48.2,West Bengal
Amrita Vishwa Vidyapeetham,76.51,47.82,77.63,73.83,36.07,Tamil Nadu
Vellore Institute of Technology,61.51,61.95,79.42,61.11,39.35,Tamil Nadu
Anna University,60.32,63.51,71.58,48.93,64.13,Tamil Nadu
S.R.M. Institute of Science and Technology,71.69,55.43,76.92,68.55,17.02,Tamil Nadu
Saveetha Institute of Medical and Technical Sciences,72.59,60.87,72.82,66.07,5.79,Tamil Nadu
"Birla Institute of Technology and Science, Pilani",66.06,57.83,75.19,58.49,28.11,Rajasthan
Siksha `O` Anusandhan,74.09,42.19,74.06,72.74,37.65,Odisha
University of Hyderabad,72.69,45.58,81.39,62.26,25.6,Telangana
Calcutta University,70.01,42.11,92.19,50.17,31.61,West Bengal
Homi Bhabha National Institute,76.29,52.45,76.95,53.84,7.42,Maharashtra
Kalinga Institute of Industrial Technology,74.74,42.01,79.53,76.35,13.72,Odisha
Indian Institute of Technology Gandhinagar,76.4,41.53,69.97,69.21,24.82,Gujarat
Indian Institute of Technology (Banaras Hindu University) Varanasi,57.16,54.95,76.25,57.97,40.09,Uttar Pradesh
National Institute of Technology Tiruchirappalli,57.74,48.14,74.21,64.62,55.37,Tamil Nadu
Chandigarh University,68.5,39.66,78.18,77.52,24.56,Punjab
Indian Institute of Technology Indore,65.54,50.91,71.78,60.73,19.49,Madhya Pradesh
National Institute of Technology Rourkela,63.94,50.54,75.22,59.6,17.02,Odisha
Indian Institute of Technology (Indian School of Mines) Dhanbad,59.69,55.05,71.72,59.2,22.93,Jharkhand
JSS Academy of Higher Education and Research,76.68,32.12,69.66,76.95,15.07,Karnataka
Savitribai Phule Pune University,61.07,39.17,89.65,52.59,24.29,Maharashtra
Kerala University,74.52,26.72,94.82,58.19,4.52,Kerala
Jawaharlal Institute of Post Graduate Medical Education and Research,72.86,33.47,71.01,70.11,24.02,Pondicherry
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),67.87,41.54,71.78,66.48,16.38,Andhra Pradesh
Andhra University,75.44,26.05,85.19,64.68,10.13,Andhra Pradesh
Indian Institute of Science Education and Research Pune,72.8,41.09,61.53,62.28,21.53,Maharashtra
Thapar Institute of Engineering and Technology (Deemed-to-be-university),65,43.36,71.19,63.83,17.02,Punjab
Bharathiar University,64.04,42.45,78.16,54.05,18.27,Tamil Nadu
Lovely Professional University,57.1,49.75,66.63,69.81,22.1,Punjab
"National Institute of Technology Karnataka, Surathkal",55.75,43.41,74.39,62.79,35.25,Karnataka
Shanmugha Arts Science Technology and Research Academy,69.41,37.64,71.47,66.23,11.24,Tamil Nadu
Indian Institute of Technology Ropar,68.81,39.95,67.5,65.22,14.74,Punjab
Amity University,56.77,50.31,71.92,65.59,9.75,Uttar Pradesh
Kalasalingam Academy of Research and Education,69.75,32.36,74.56,74.3,10.5,Tamil Nadu
Cochin University of Science and Technology,71.68,35.53,73.76,56.1,14.74,Kerala
Symbiosis International,72.53,27.49,78.53,64.79,17.34,Maharashtra
National Institute of Technology Warangal,61.76,42.22,72.75,57.84,22.1,Telangana
National Institute of Technology Calicut,66.21,32.44,72.82,68.16,26.88,Kerala
Bharathidasan University,65.13,39.14,79.78,53.33,8.99,Tamil Nadu
Institute of Chemical Technology,55.91,45.68,75.08,55.39,23.48,Maharashtra
Gauhati University,71.82,24.11,88.28,60.98,7.42,Assam
Babasaheb Bhimrao Ambedkar University,69.31,25.46,80.94,78.63,7.82,Uttar Pradesh
UPES,64.11,41.19,60.62,65.76,27.62,Uttarakhand
Panjab University,54.31,42.01,74.07,63.38,29.55,Chandigarh
Indian Institute of Science Education and Research Kolkata,68.89,39.53,66.79,54.52,15.73,West Bengal
Jamia Hamdard,68.66,34.45,70.2,66.17,12.32,Delhi
Dr. D. Y. Patil Vidyapeeth,74.46,26.12,63.1,61.74,37.45,Maharashtra
Indian Institute of Science Education and Research Mohali,67.38,32.89,70.81,66.14,17.34,Punjab
University of Madras,69.31,38.5,65.47,53.22,18.27,Tamil Nadu
Delhi Technological University,63.18,37.87,67.5,56.65,29.07,Delhi
Mahatma Gandhi University,71.36,37.27,70.97,51.09,4.09,Kerala
Indian Institute of Technology Jodhpur,71.5,34.91,63.56,67.12,8.99,Rajasthan
University of Kashmir,71.14,31.25,79.72,51.14,3.66,Jammu and Kashmir
Osmania University,64.75,28.77,85.33,58.05,10.87,Telangana
Datta Meghe Institute of Higher Education and Research,71.49,38.33,61.26,64.14,1.41,Maharashtra
Indian Institute of Technology Mandi,65.48,38.39,61.96,70.37,10.87,Himachal Pradesh
Indian Institute of Technology Patna,60.25,42.04,70.12,54.1,11.24,Bihar
All India Institute of Medical Sciences Rishikesh,74.07,35.35,50.68,69.13,13.37,Uttarakhand
"Indian Statistical Institute, Kolkata",68.05,32.99,67.59,45.27,27.37,West Bengal
Alagappa University,65.88,35.3,73.76,51.91,7.82,Tamil Nadu
Visvesvaraya National Institute of Technology Nagpur,62.96,37.25,68.6,55.82,16.7,Maharashtra
Indian Institute of Science Education and Research Bhopal,69.14,31.99,65.96,67.87,6.2,Madhya Pradesh
Graphic Era University,59.9,33.86,62.93,66.08,32.5,Uttarakhand
Punjab Agricultural University,74.19,32.43,64.12,49.58,7.82,Punjab
Sri Sivasubramaniya Nadar College of Engineering,61.3,39.4,67.32,57.14,10.5,Tamil Nadu
Malaviya National Institute of Technology,58.02,42.66,69.7,52.47,10.13,Rajasthan
All India Institute of Medical Sciences Jodhpur,72.7,33.93,56.36,60.62,6.2,Rajasthan
SVKM`s Narsee Monjee Institute of Management Studies,74,24.83,64.38,65.17,5.37,Maharashtra
Sathyabama Institute of Science and Technology,59.05,36.3,63.32,70.64,11.96,Tamil Nadu
Mysore University,70.8,19.35,79.51,57.96,7.02,Karnataka
University of Jammu,72.95,23.43,74.91,52.72,2.32,Jammu and Kashmir
King George`s Medical University,72.12,27.45,62.81,56.24,9.37,Uttar Pradesh
Shoolini University of Biotechnology and Management Sciences,54.64,39.24,68.7,65.98,4.52,Himachal Pradesh
Christ University,58.34,22.05,66.49,72.84,39.72,Karnataka
Bharath Institute of Higher Education and Research,67.46,22.62,67.73,71.19,9.37,Tamil Nadu
National Institute of Technology Silchar,50.88,43.7,69.93,56.42,5.37,Assam
National Institute of Technology Durgapur,57.81,32.74,71.05,57.97,11.24,West Bengal
Gujarat University,67.97,17.53,81.99,57,4.09,Gujarat
Shiv Nadar University,71.43,25.51,59.74,66.79,4.09,Uttar Pradesh
Sri Ramachandra Institute of Higher Education and Research,72.73,22.22,62.46,62.99,8.21,Tamil Nadu
Acharya Nagarjuna University,64.38,17,82.97,65,2.32,Andhra Pradesh
Tata Institute of Social Sciences,66.96,15.83,71.49,72.19,11.96,Maharashtra
All India Institute of Medical Sciences Patna,69.57,20.49,60,66.08,19.19,Bihar
Periyar University,61.51,29.46,69.58,59.86,2.32,Tamil Nadu
