Name,TLR,RPC,GO,OI,Perception,State
Jamia Hamdard,80.01,85.34,86.5,71.11,100,Delhi
National Institute of Pharmaceutical Education and Research Hyderabad,92.05,63.33,94.6,71.76,75.85,Telangana
"Birla Institute of Technology and Science, Pilani",89.45,72.95,85.63,70.39,60.62,Rajasthan
JSS College of Pharmacy,85.88,51.7,93.1,84.64,87.82,Tamil Nadu
Institute of Chemical Technology,80.23,69.45,89.34,56.18,62.95,Maharashtra
JSS College of Pharmacy,82.13,53.25,90.03,70.2,72.38,Karnataka
Panjab University,69.48,73.49,72.67,74.39,79.05,Chandigarh
"Manipal College of Pharmaceutical Sciences, Manipal",76.79,63.33,79.57,69.1,74.15,Karnataka
National Institute of Pharmaceutical Education and Research Mohali,74.48,54.6,84.4,64.39,88.23,Punjab
SVKM`s Narsee Monjee Institute of Management Studies,83.62,67.35,80.18,63.02,23.04,Maharashtra
S.R.M. Institute of Science and Technology,78.3,63.71,79.73,58.06,45.36,Tamil Nadu
National Institute of Pharmaceutical Education and Research Guwahati,87.08,52.91,82.29,60.63,42.99,Assam
Amrita Vishwa Vidyapeetham,75.85,54.86,74.93,77.35,61.41,Tamil Nadu
National Institute of Pharmaceutical Education and Research Raebareli,83.52,47.16,72.31,67.82,50.75,Uttar Pradesh
National Institute of Pharmaceutical Education and Research Ahmedabad,78.54,43.02,80.79,66.21,56.42,Gujarat
Delhi Pharmaceutical Sciences and Research University,75.27,40.03,72.93,60.08,95.41,Delhi
Lovely Professional University,72.97,77.5,41.87,64.56,47.6,Punjab
Jadavpur University,73.62,52.37,80.46,46.07,56.42,West Bengal
Chitkara University,70.15,68.73,59.88,69.18,34.94,Punjab
Chandigarh University,78.45,49.07,57.78,75.44,66.57,Punjab
Babasaheb Bhimrao Ambedkar University,78.83,47.59,71.78,50.68,44.19,Uttar Pradesh
Amity University,68.32,60.06,61.18,60.17,42.99,Uttar Pradesh
Central University of Punjab,72.11,53.99,56.33,62.74,55.53,Punjab
National Institute of Pharmaceutical Education and Research Kolkata,87.56,26.83,73.28,61.43,36.4,West Bengal
I. S. F. College of Pharmacy,60.28,50.18,73.39,69.7,34.94,Punjab
Maharishi Markandeshwar (Deemed to be University),62.14,60.18,64.21,52.16,34.94,Haryana
Annamalai University,69.33,48.68,66.26,47.75,47.6,Tamil Nadu
Banasthali Vidyapith,74.49,31.71,86.96,76.03,9.17,Rajasthan
Central University of Rajasthan,73.05,45.56,69.28,70.24,11.83,Rajasthan
Shoolini University of Biotechnology and Management Sciences,67.24,53.9,59.02,55.87,33.44,Himachal Pradesh
Sri Ramachandra Institute of Higher Education and Research,75.55,34.03,70.15,53.09,47.6,Tamil Nadu
Birla Institute of Technology,69.24,40.97,65.12,63.72,42.99,Jharkhand
National Institute Of Pharmaceutical Education And Research Hajipur,83.79,27.39,71.06,58.02,30.25,Bihar
"AU College of Pharmaceutical Sciences, Andhra University",77.29,21.78,80.21,60.52,42.99,Andhra Pradesh
"Poona College of Pharmacy, Pune",73.38,27.89,72.42,57.17,52.73,Maharashtra
Dr D Y Patil Institute of Pharmaceutical Sciences and Research,71.4,20.53,73.89,57.55,71.16,Maharashtra
Nirma University,70.6,44.35,60.61,54.18,31.87,Gujarat
Maharshi Dayanand University,58.73,49.42,67.51,48.04,37.8,Haryana
SVKM`s Dr. Bhanuben Nanavati College of Pharmacy,70.82,36.85,72.16,53.51,21.03,Maharashtra
Noida Institute of Engineering and Technology (Pharmacy Institute),67.66,16.45,71.77,65.59,74.15,Uttar Pradesh
N.G.S.M. Institute of Pharmaceutical Sciences,70.17,29.48,68.24,57.65,40.47,Karnataka
"KLE College of Pharmacy, Belgaum",67.27,26.96,65.03,63,50.75,Karnataka
Dibrugarh University,64.33,38.67,67.76,52.06,24.97,Assam
Maharaja Sayajirao University of Baroda,60.97,39.58,71.14,56.51,18.91,Gujarat
Integral University,70.33,39.87,58.66,54.69,11.83,Uttar Pradesh
Punjabi University,60.79,35.36,64.5,62.42,33.44,Punjab
Parul University,70.73,29.16,64.91,56.65,26.8,Gujarat
