Name,TLR,RPC,GO,OI,Perception,State
Indian Institute of Technology Roorkee,81.72,93.02,93.38,74.46,75,Uttarakhand
Indian Institute of Technology Kharagpur,76.48,84.65,90.85,67.6,82.56,West Bengal
National Institute of Technology Calicut,93.63,59.49,81.67,71.86,66.45,Kerala
"Indian Institute of Engineering Science and Technology, Shibpur",76.13,56.74,73.6,69.03,62.91,West Bengal
School of Planning and Architecture New Delhi,78.6,29.07,70.28,76.93,100,Delhi
Centre for Environmental Planning and Technology University,74.51,42.69,77.85,66.09,67.12,Gujarat
Jamia Millia Islamia,67.35,42.15,89.89,86.29,42.34,Delhi
National Institute of Technology Tiruchirappalli,56.91,53.29,81.39,74.56,79.2,Tamil Nadu
National Institute of Technology Rourkela,62.25,72.51,72.92,65.46,43.53,Odisha
Visvesvaraya National Institute of Technology Nagpur,61.28,51.38,86.86,65.37,43.53,Maharashtra
S.R.M. Institute of Science and Technology,66.46,51.79,74.9,56.79,42.34,Tamil Nadu
School of Planning and Architecture Bhopal,71.34,23.24,75.8,75.8,58.23,Madhya Pradesh
Chandigarh University,73.2,39.39,69.77,75.53,28.06,Punjab
Aligarh Muslim University,55.56,77.47,72.25,47.41,41.11,Uttar Pradesh
Malaviya National Institute of Technology,55.38,63.59,82.22,70.26,24.51,Rajasthan
School of Planning and Architecture Vijayawada,62.32,26.75,81.64,67.64,70.33,Andhra Pradesh
Maulana Azad National Institute of Technology,65.46,34.89,80.11,70.96,41.11,Madhya Pradesh
"College of Engineering, Trivandrum",56.16,33.09,88.84,63.36,52.01,Kerala
Nirma University,63.94,41.46,71.79,60.24,34.37,Gujarat
Birla Institute of Technology,65.75,38.23,60.92,60.78,50.04,Jharkhand
M. S. Ramaiah Institute of Technology,64.43,26.67,76.6,57.94,47.98,Karnataka
Dr. M. G. R. Educational and Research Institute,68.15,19.7,74.66,68.93,32.88,Tamil Nadu
BMS College of Architecture,63.77,11.91,79.35,59.89,62.91,Karnataka
Lovely Professional University,67.28,38.89,65.97,63.48,16.35,Punjab
Amity University,72.63,1.73,76.79,75.05,24.51,West Bengal
Thiagarajar College of Engineering,61.14,30.94,73.06,51.06,43.53,Tamil Nadu
National Institute of Technology Patna,52.05,61.84,57.6,59.04,35.81,Bihar
"Manipal School of Architecture and Planning, MAHE",65.03,0.5,66.77,67.25,70.33,Karnataka
Guru Gobind Singh Indraprastha University,50.28,29.46,83.78,58.63,41.11,Delhi
"Chandigarh College of Architecture, Sector-12",63.22,33.11,46.32,70.76,43.53,Chandigarh
Shri Mata Vaishno Devi University,68.94,34.09,58.19,53.9,11.58,Jammu and Kashmir
National Institute of Technology Hamirpur,44.5,43.74,76.6,67.27,39.85,Himachal Pradesh
"Manipal University, Jaipur",50.57,46.73,72.41,59.14,16.35,Rajasthan
Anna University,46.29,40.92,50.17,52.28,92,Tamil Nadu
Chitkara University,56.97,30.14,71.96,56.92,20.63,Punjab
National Institute of Technology Raipur,53.48,42.83,60.59,62.9,22.62,Chhattisgarh
Anant National University,67.74,6.79,70.98,59.84,8.97,Gujarat
"BMS School of Architecture, Yelahanka",58.23,24.39,68.57,55.33,20.63,Karnataka
Gandhi Institute of Technology and Management,58.15,35.6,51.19,50.83,32.88,Andhra Pradesh
B. S. Abdur Rahman Crescent Institute of Science and Technology,57,27.27,59.7,47.06,26.33,Tamil Nadu
