Name,TLR,RPC,GO,OI,Perception,State
Hindu College,63.91,59.88,90.57,77.68,95.21,Delhi
Miranda House,63.31,64.01,87.63,77.22,86.65,Delhi
St. Stephens's College,71.94,36.27,88.46,73.84,92.47,Delhi
Rama Krishna Mission Vivekananda Centenary College,72.3,65.33,100,53.69,38.75,West Bengal
Atma Ram Sanatan Dharm College,64.86,94.84,78.35,73.45,54.87,Delhi
St. Xavier`s College,66.78,67.75,88.22,57.23,74.99,West Bengal
PSGR Krishnammal College for Women,73.19,55.22,81.67,66.27,74.81,Tamil Nadu
Loyola College,62.47,100,64.52,46.51,99.7,Tamil Nadu
Kirori Mal College,62.96,76.99,81.58,73.33,53.99,Delhi
Lady Shri Ram College for Women,60.27,29.01,93.87,75.59,100,Delhi
PSG College of Arts and Science,67.4,67.37,71.92,53.35,86.79,Tamil Nadu
Hans Raj College,56.38,80.11,75.67,78.59,74.09,Delhi
Presidency College,69.75,70,68.28,52.76,76.06,Tamil Nadu
Madras Christian College,67.7,70.49,66.1,57.37,74.99,Tamil Nadu
Thiagarajar College,68.38,79.31,75.35,53.46,33.76,Tamil Nadu
Deshbandhu College,59.84,77.62,85.37,67.74,23.41,Delhi
Ramakrishna Mission Vidyamandira,70.8,59.09,87.42,29.5,35.18,West Bengal
Acharya Narendra Dev College,68.47,76.19,64.52,63.11,34.71,Delhi
Shri Ram College of Commerce,58.44,15.01,94.3,78.42,75.35,Delhi
Rajagiri College of Social Sciences,74.17,63.26,71.77,54.54,16.73,Kerala
Sri Venkateswara College,56.05,75.8,78.15,74.19,32.29,Delhi
"University College, Thiruvananthapuram",73.69,56.71,73.94,54.44,17.45,Kerala
Lady Irwin College,71.49,36.5,73.7,59.87,47.93,Delhi
Ramakrishna Mission Residential College,68.47,48.96,86.6,31.71,32.29,West Bengal
"St. Joseph's College, Tiruchirappalli",63.84,61.55,75.46,48.61,42.43,Tamil Nadu
Deen Dayal Upadhyaya College,58.6,73.09,66.57,71.91,42.43,Delhi
Bhaskaracharya College of Applied Sciences,65.34,82.02,64.32,52.07,18.16,Delhi
V.O. Chidambaram College,62.25,65.44,77.46,57.48,9.63,Tamil Nadu
Maitreyi College,62.28,44.1,79.13,70.91,12.13,Delhi
Stella Maris College for Women,57.6,57.09,64.05,61.58,57.4,Tamil Nadu
Gargi College,64.31,36.91,68.16,72.38,37.45,Delhi
Midnapore College,67.67,55.58,60.51,59.7,24.03,West Bengal
Bishop Heber College,58.63,53.63,73.04,48.58,40.02,Tamil Nadu
Dyal Singh College,63.15,46.5,70.69,70.38,16,Delhi
Pachhunga University College,59.99,80.46,63.87,56.86,5.09,Mizoram
"St. Xavier's College, Palayamkottai",63.11,63.95,64.34,51.53,21.52,Tamil Nadu
Sri Krishna Arts and Science College,64.19,18.36,87.28,59.65,20.21,Tamil Nadu
Shaheed Rajguru College of Applied Sciences for Women,61.8,60.95,68.26,69.4,3.13,Delhi
Jesus & Mary College,64.79,11.91,80.52,68.66,30.76,Delhi
Sri Guru Gobind Singh College of Commerce,62.76,7.07,93.04,67.7,16,Delhi
"Holy Cross College, Tiruchirappalli",64.71,34.29,75.78,54.72,20.87,Tamil Nadu
"Nesamony Memorial Christian College, Marthandam, Kanyakumari Dist.",68.06,65.42,57.2,55.8,1.07,Tamil Nadu
Kamala Nehru College,57.16,16.09,87.54,76.5,21.52,Delhi
Dhanalakshmi Srinivasan College of Arts and Science for Women,73.26,11.56,71.24,62.47,18.16,Tamil Nadu
Fergusson College (Autonomous),48.85,30.42,73.22,51.37,92.35,Maharashtra
"St. Teresa's College, Ernakulam",69.75,15.25,79.87,56.67,8.76,Kerala
Sacred Heart College (Autonomous),56.78,87.7,56.29,53.71,11.32,Tamil Nadu
Sacred Heart College,62.29,44.4,73.24,54.57,9.63,Kerala
Shivaji College,56.65,52.51,76.04,60.49,5.09,Delhi
"Govt. College for Women, Thiruvananthapuram",68.72,44.04,61.99,52.99,12.13,Kerala
Govt Home Science College,65.39,10.7,81.21,63.35,15.25,Chandigarh
Kongunadu Arts and Science College,47.3,82.32,69.75,42.28,29.71,Tamil Nadu
"Maharaja's College, Ernakulam",70.45,32.16,62.74,56.51,13.72,Kerala
The American College,67.64,43.74,58.12,45.83,29.71,Tamil Nadu
St. Joseph`s College of Commerce,60.78,1.67,87.59,65.49,26.4,Karnataka
Sri Ramakrishna College of Arts and Science,66.48,17.53,74.7,55.3,22.16,Tamil Nadu
"St. Thomas College, Thrissur",59.8,39.8,78.35,54.13,6.97,Kerala
St. Aloysius College,63.88,22.58,67.05,70.64,28.09,Karnataka
"Jamal Mohamed College, Tiruchirappalli",62.92,43.06,66.77,50.46,20.87,Tamil Nadu
Kristu Jayanti College,63.69,36.04,63.79,69.93,15.25,Karnataka
"St. Joseph`s College, Devagiri",66.88,32.16,68.62,53.18,12.93,Kerala
Bishop Moore College,61.37,66.82,59.78,55.27,2.11,Kerala
Ayya Nadar Janaki Ammal College,60.92,44.15,66.55,49.77,25.23,Tamil Nadu
"Government Institute of Science, Nagpur",63.25,33.41,69.01,54.04,19.53,Maharashtra
Ramanujan College,55.81,35.13,80.63,60.55,10.48,Delhi
Mar Ivanios College,56.75,67.87,63.4,53.23,6.97,Kerala
Women`s Christian College,59.53,27.61,69.85,59.96,31.28,Tamil Nadu
Government Arts College,63.26,23.6,71.05,54.84,24.63,Tamil Nadu
"S.B. College, Changanassery",57.14,70,65.17,47.48,1.07,Kerala
Goswami Ganesh Dutta S.D. College,46.83,36.48,83.08,73.77,21.52,Chandigarh
Queen Mary`s College,58.17,32.65,72.64,58.23,23.41,Tamil Nadu
Daulat Ram College,53.45,25.42,68.59,73.42,46.88,Delhi
Madras School of Social Work,66.93,2.7,79.2,53.71,18.16,Tamil Nadu
Mar Athanasius College,64.27,39.18,66.72,54.61,2.11,Kerala
Dr. N. G. P. Arts and Science College,59.04,35.03,71.33,52.82,19.53,Tamil Nadu
Alagappa Government Arts College,55.04,38.45,70.71,47.86,36.1,Tamil Nadu
Kanchi Mamunivar Govt. Institute for Postgraduate Studies and Research,50.98,63.39,77.83,39.25,5.09,Pondicherry
A.P.C. Mahalaxmi College for Women,64.91,14.86,77.14,58.8,4.12,Tamil Nadu
Ethiraj College for Women,62.28,16.42,63.93,53.65,48.95,Tamil Nadu
"Vimala College, Thrissur",67.42,19.13,70.74,57.46,2.11,Kerala
"S S Jain Subodh P G College, Jaipur",72.86,18.08,53.28,80.83,2.11,Rajasthan
National College,60.65,51.58,60.01,42.6,18.85,Tamil Nadu
Sri Ramakrishna Mission Vidyalaya College of Arts and Science,54.63,94.6,61.32,8.08,9.63,Tamil Nadu
Government Victoria College,61.34,31.62,72.57,47.08,9.63,Kerala
St. Joseph's College,57.6,20.23,80.61,58.39,8.76,Kerala
Maharaja Agrasen College,62.24,30.49,65.26,63.19,7.87,Delhi
"M S Ramaiah College of Arts, Science, and Commerce",48.84,23.13,81.32,61.49,33.76,Karnataka
