Name,TLR,RPC,GO,OI,Perception,State
National Law School of India University,90.31,61.85,85.4,70.8,100,Karnataka
National Law University,87.17,37.03,82.44,71.29,93.2,Delhi
Nalsar University of Law,88.21,37.04,86.76,71.76,73.4,Telangana
The West Bengal National University of Juridical Sciences,86.34,49.44,83.24,69.23,66.99,West Bengal
Symbiosis Law School,84.91,19.69,94.23,75.09,66.36,Maharashtra
Jamia Millia Islamia,75.81,42.39,91.02,85.71,51.11,Delhi
Indian Institute of Technology Kharagpur,79.09,81.4,70.94,58.19,40.71,West Bengal
Gujarat National Law University,81.14,42.72,75.13,71.8,47.25,Gujarat
Siksha `O` Anusandhan,71.63,55.15,66.2,73.13,46.23,Odisha
Babasaheb Bhimrao Ambedkar University,73.37,32.03,85.42,67.68,26.82,Uttar Pradesh
Kalinga Institute of Industrial Technology,84.9,32.77,64.99,76.23,8.48,Odisha
Aligarh Muslim University,59.07,38.47,93.85,58.47,48.25,Uttar Pradesh
Saveetha Institute of Medical and Technical Sciences,78.48,53,53.67,70.56,17.63,Tamil Nadu
Shanmugha Arts Science Technology and Research Academy,75.42,29.79,69.74,57.33,28.43,Tamil Nadu
Christ University,67.57,25.09,66.42,71.58,48.25,Karnataka
Dr. B. R. Ambedkar College of Law,81.37,0.92,72.84,58.9,19.64,Andhra Pradesh
Guru Gobind Singh Indraprastha University,54.55,48.89,81,54.49,38.28,Delhi
Alliance University,81.84,17.81,48.4,72.54,19.64,Karnataka
Lovely Professional University,78.58,38.88,44,75.98,8.48,Punjab
Dr. Ram Manohar Lohiya National Law University,58.26,16.82,82.2,50.31,45.18,Uttar Pradesh
"National Law Institute University, Bhopal",59.76,22.21,76.56,62.68,29.99,Madhya Pradesh
National University of Study and Research in Law,66.82,27.08,60.06,61.36,35.69,Jharkhand
University of Lucknow,53.96,19.06,85.93,54.24,37,Uttar Pradesh
The Rajiv Gandhi National University of Law,65.6,24,56.44,73.24,34.34,Punjab
Banaras Hindu University,57.24,29.87,64.22,45.44,65.72,Uttar Pradesh
"National Law University, Cuttack",66.99,16.63,53.7,69.39,48.25,Odisha
National Law University and Judicial Academy,76.83,7.44,47.95,62.59,32.94,Assam
UPES,59.18,28.89,40.56,71.33,76.51,Uttarakhand
"Manipal University, Jaipur",73.14,24.54,47.3,66.2,8.48,Rajasthan
Army Institute of Law,55.9,18.08,63.34,71.41,40.71,Punjab
Maharashtra National Law University Mumbai,60.83,23.22,56.93,59.63,37,Maharashtra
Chanakya National Law University,65.03,23.97,58.72,56.53,17.63,Bihar
"Amity University Haryana, Gurgaon",70.53,25.35,46.02,58.34,23.38,Haryana
"Maharashtra National Law University, Nagpur",67.67,25.3,48.44,64.95,19.64,Maharashtra
Indian Law Institute,45.56,36.49,58.26,53.58,66.36,Delhi
"ICFAI Foundation for Higher Education, Hyderabad",67.53,33.52,42.82,60.34,10.97,Telangana
Gandhi Institute of Technology and Management,63.72,29.67,43.6,65.51,10.97,Andhra Pradesh
National University of Advanced Legal Studies (NUALS),46.92,23.63,66.4,54.67,35.69,Kerala
Damodaram Sanjivayya National Law University,67.34,2.36,48.14,62.79,23.38,Andhra Pradesh
Amity University,73.51,1.98,45.55,62.72,5.84,West Bengal
