Name,TLR,RPC,GO,OI,Perception,State
Indian Institute of Management Ahmedabad,91.88,63.89,98.71,71.72,96.81,Gujarat
Indian Institute of Management Bangalore,90.08,56.71,98.41,74.54,100,Karnataka
Indian Institute of Management Kozhikode,86.99,58.96,94.37,77.1,75.3,Kerala
Indian Institute of Technology Delhi,72.21,78.39,89.51,67.37,64.25,Delhi
Indian Institute of Management Calcutta,84.12,48.09,99.09,70.46,85.29,West Bengal
Indian Institute of Management Mumbai,80.81,59.14,99.41,75.86,52.82,Maharashtra
Indian Institute of Management Lucknow,84.25,49.09,96.59,71.17,79.81,Uttar Pradesh
Indian Institute of Management Indore,84.08,55.28,93.49,72.38,57.93,Madhya Pradesh
XLRI - Xavier School of Management,85.49,39.79,97.92,64.57,45.02,Jharkhand
Indian Institute of Technology Bombay,78.3,61.64,79.25,58.83,34.5,Maharashtra
Management Development Institute,75.87,50.74,95.24,71.05,27.07,Haryana
Indian Institute of Management Rohtak,79.69,45.01,88.9,75.98,37,Haryana
Symbiosis Institute of Business Management,75.51,42.85,94.27,66.5,41.21,Maharashtra
Indian Institute of Management Raipur,78.31,41.28,90.68,80.55,23.25,Chhattisgarh
Indian Institute of Foreign Trade,80.36,32.8,87.48,66.49,42.58,Delhi
Indian Institute of Technology Madras,70.39,47.93,75.1,60.43,51.74,Tamil Nadu
Indian Institute of Management Ranchi,70.89,39.65,89.45,71.42,30.82,Jharkhand
Indian Institute of Technology Roorkee,68.08,59,71.09,62.16,26.5,Uttarakhand
Indian Institute of Technology Kharagpur,50.1,63.68,87.88,55.17,37.88,West Bengal
S. P. Jain Institute of Management and Research,78.86,26.6,98.65,68.9,27.07,Maharashtra
SVKM`s Narsee Monjee Institute of Management Studies,78.42,29.96,92.39,76.71,22.95,Maharashtra
Indian Institute of Management Udaipur,79.21,33.95,88.69,72.05,20.39,Rajasthan
Indian Institute of Management Kashipur,67.95,40.39,89.06,74.47,30.56,Uttarakhand
Indian Institute of Management Shillong,74.68,28.33,94.96,74.09,31.83,Meghalaya
Jamia Millia Islamia,65.45,48.39,81.46,83.65,15.14,Delhi
Indian Institute of Management Visakhapatnam,80.81,22.51,86.1,70.53,39.37,Andhra Pradesh
Indian Institute of Management Tiruchirappalli,60.97,29.09,87.47,69.74,61.89,Tamil Nadu
Amrita Vishwa Vidyapeetham,64.11,41.4,73.51,75.5,34.97,Tamil Nadu
Amity University,70.39,54.11,58.85,67.49,13.62,Uttar Pradesh
Indian Institute of Technology Kanpur,66.9,44.97,77.9,48.81,32.08,Uttar Pradesh
Indian Institute of Management Nagpur,71.57,27.17,86.55,70.33,29.78,Maharashtra
MICA,70.52,38.08,84.36,68.13,3.6,Gujarat
Indian Institute of Management Bodh Gaya,75.08,25.8,84.73,69.59,21.05,Bihar
Great Lakes Institute of Management,78.3,22.05,81.85,73.36,23.25,Tamil Nadu
Institute of Management Technology,76.46,32.51,80.64,63.76,8.25,Uttar Pradesh
Chandigarh University,75.3,30.03,70.22,80.58,20.06,Punjab
Goa Institute of Management,75.11,25.94,84.41,71.65,13.23,Goa
Lovely Professional University,73.49,38.97,62.87,75.19,16.61,Punjab
"ICFAI Foundation for Higher Education, Hyderabad",75.59,26.77,75.96,76.06,18.02,Telangana
International Management Institute,72.25,26.29,87.23,69.58,9.12,Delhi
UPES,73.29,32.94,67.39,65.68,28.99,Uttarakhand
Indian Institute of Management Jammu (IIMJ),73.73,16.68,86.87,73.31,28.18,Jammu and Kashmir
XIM University,73.86,21.36,91.24,55.04,21.69,Odisha
Thapar Institute of Engineering and Technology (Deemed-to-be-university),66.13,42.28,63.22,72.33,8.69,Punjab
Jaipuria Institute of Management,67.35,28.22,76.47,67.15,25.35,Uttar Pradesh
Indian Institute of Technology (Indian School of Mines) Dhanbad,70.67,41.31,55.53,63.79,16.96,Jharkhand
Indian Institute of Management Amritsar,67.83,18.63,87.86,67.99,22.63,Punjab
Banaras Hindu University,62.18,29.5,81.82,56.41,27.63,Uttar Pradesh
Institute of Rural Management Anand (IRMA),65.29,22.36,87.73,64.13,12.84,Gujarat
Indian Institute of Management Sambalpur,64.06,18.02,81.32,75.56,30.31,Odisha
National Institute of Technology Tiruchirappalli,54.19,39.84,71.84,61.66,26.5,Tamil Nadu
Great Lakes Institute of Management,76.53,18.83,72.51,79.25,3.1,Haryana
Fore School of Management,70.42,17.93,85.12,62.4,13.23,Delhi
Chitkara University,71.22,33.81,57.3,75.06,5.52,Punjab
Nirma University,64.09,27.69,80.98,63.98,8.69,Gujarat
"International Management Institute, Kolkata",63.64,30.94,79.3,66.28,1.06,West Bengal
Indian Institute of Management Sirmaur,66.29,18.15,83.61,72.67,15.88,Himachal Pradesh
"T. A. Pai Management Institute, Manipal",60.1,25.9,81.91,70.48,15.51,Karnataka
Graphic Era University,69.16,27.41,59,71.68,26.5,Uttarakhand
Christ University,61.48,22.09,69.9,72.45,42.58,Karnataka
"International Management Institute, Bhubaneswar",72.06,16.72,78.94,76.91,2.6,Odisha
Siksha `O` Anusandhan,70.66,19.77,69.03,75.46,12.04,Odisha
K J Somaiya Institute of Management Studies and Research,68.84,23.02,72.59,66.72,9.12,Maharashtra
Birla Institute of Management Technology,67.23,18.69,80.54,65.89,9.55,Uttar Pradesh
Guru Gobind Singh Indraprastha University,60.92,32.16,73.02,54.04,14.76,Delhi
Loyola Institute of Business Administration,69.63,15.81,72.6,61.76,29.25,Tamil Nadu
Kalinga Institute of Industrial Technology,79.12,22.29,51.75,77.22,7.36,Odisha
Malaviya National Institute of Technology,48.9,57.63,55.61,57.51,3.1,Rajasthan
Anna University,53.37,39.59,63.23,45.31,38.52,Tamil Nadu
Aligarh Muslim University,54.24,40.29,68.52,53.44,12.84,Uttar Pradesh
Alliance University,78.59,9.03,67.19,74.92,11.64,Karnataka
"Jaipuria Institute of Management, Lucknow",71.51,12.81,72.36,60.82,24.76,Uttar Pradesh
"Manipal University, Jaipur",66.15,24.92,68.06,69.07,2.6,Rajasthan
Saveetha Institute of Medical and Technical Sciences,67.57,30.84,51.62,77.73,3.1,Tamil Nadu
Jaipuria Institute of Management,71.33,13.88,74.4,56.82,14.38,Rajasthan
National Institute of Technology Calicut,67.49,24.68,66.03,54.08,12.84,Kerala
"Jain University, Bangalore",72,11.96,70.81,68.4,12.84,Karnataka
Jamia Hamdard,67.8,17.57,70.05,74.13,3.6,Delhi
