Name,TLR,RPC,GO,OI,Perception,State
"Indian Institute of Science, Bengaluru",83.6,86.5,82.17,58.46,99.79,Karnataka
Jawaharlal Nehru University,74.93,45.27,97.34,72.28,70.39,Delhi
Jamia Millia Islamia,71.29,49.28,92.72,83.1,50.85,Delhi
"Manipal Academy of Higher Education, Manipal",78.11,55.94,77.34,67.33,47.74,Karnataka
Banaras Hindu University,73.59,51.01,94.94,61.57,35.18,Uttar Pradesh
University of Delhi,56.75,56.42,98.54,67.57,54.75,Delhi
Amrita Vishwa Vidyapeetham,76.51,47.82,77.63,73.83,55.25,Tamil Nadu
Aligarh Muslim University,74.02,45.91,93.81,61.15,47.21,Uttar Pradesh
Jadavpur University,68.83,51.35,89.92,49.94,63.74,West Bengal
Vellore Institute of Technology,61.51,61.95,79.42,61.11,57.55,Tamil Nadu
Saveetha Institute of Medical and Technical Sciences,72.59,60.87,72.82,66.07,34.05,Tamil Nadu
S.R.M. Institute of Science and Technology,71.69,55.43,76.92,68.55,41.91,Tamil Nadu
Anna University,60.32,63.51,71.58,48.93,74.89,Tamil Nadu
Siksha `O` Anusandhan,74.09,42.19,74.06,72.74,56.35,Odisha
Kalinga Institute of Industrial Technology,74.74,42.01,79.53,76.35,39.6,Odisha
Homi Bhabha National Institute,76.29,52.45,76.95,53.84,29.19,Maharashtra
University of Hyderabad,72.69,45.58,81.39,62.26,41.92,Telangana
Calcutta University,70.01,42.11,92.19,50.17,40.13,West Bengal
"Birla Institute of Technology and Science, Pilani",66.06,57.83,75.19,58.49,19.68,Rajasthan
Chandigarh University,68.5,39.66,78.18,77.52,41.19,Punjab
Kerala University,74.52,26.72,94.82,58.19,33.16,Kerala
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),67.87,41.54,71.78,66.48,41.47,Andhra Pradesh
Savitribai Phule Pune University,61.07,39.17,89.65,52.59,47,Maharashtra
JSS Academy of Higher Education and Research,76.68,32.12,69.66,76.95,34.55,Karnataka
Andhra University,75.44,26.05,85.19,64.68,37.09,Andhra Pradesh
Bharathiar University,64.04,42.45,78.16,54.05,42.79,Tamil Nadu
Lovely Professional University,57.1,49.75,66.63,69.81,45.47,Punjab
Shanmugha Arts Science Technology and Research Academy,69.41,37.64,71.47,66.23,37.87,Tamil Nadu
